12.99,80.23,206.71.50.230,40.65724182128906,-74.00286865234375,216,216,217,221,216,216,216,217,219,216
12.99,80.23,65.49.22.66,44.93484115600586,-93.66797637939453,247,240,231,232,230,231,232,312,232,231
12.99,80.23,207.228.238.7,41.1555290222168,-73.99075317382812,238,237,237,237,237,237,237,265,237,237
12.99,80.23,184.107.126.165,45.46699905395508,-73.543701171875,253,253,257,253,253,253,255,254,253,253
12.99,80.23,131.255.7.26,-34.611778259277344,-58.41730880737305,406,405,405,405,405,420,405,406,407,405
12.99,80.23,95.142.107.181,52.309051513671875,4.940189838409424,142,142,142,142,142,142,143,142,142,142
12.99,80.23,185.206.224.67,55.680511474609375,12.58782958984375,170,168,168,168,169,169,168,168,168,173
12.99,80.23,195.201.213.247,49.11594009399414,10.753399848937988,168,158,158,158,158,158,158,158,158,158
12.99,80.23,5.152.197.179,50.79999923706055,-1.1330000162124634,172,168,167,166,165,173,166,166,166,166
12.99,80.23,195.12.50.155,40.42618179321289,-3.6851398944854736,159,151,153,151,157,152,152,151,152,151
12.99,80.23,51.158.22.211,48.88140106201172,2.3364999294281006,131,131,130,131,131,136,131,131,131,131
12.99,80.23,46.248.187.100,52.2317008972168,21.018339157104492,182,182,182,183,182,183,182,185,182,182
12.99,80.23,197.221.23.194,-33.64500045776367,19.443599700927734,290,289,290,290,290,289,290,289,289,290
12.99,80.23,47.94.129.116,30.235559463500977,120.15888977050781,393,386,386,393,386,393,388,393,389,388
12.99,80.23,103.1.14.238,22.248310089111328,114.15239715576172,208,208,207,208,208,207,207,207,207,207
12.99,80.23,103.159.84.142,20.0,77.0,30.7,32.2,29.9,29.6,30.3,30.1,29.7,30.0,29.5,29.6
12.99,80.23,110.50.243.6,35.69628143310547,139.73855590820312,121,121,120,120,124,120,122,120,120,120
12.99,80.23,185.229.226.83,31.299999237060547,34.45000076293945,218,217,218,218,217,217,217,217,217,217
12.99,80.23,101.0.86.43,-33.86714172363281,151.2071075439453,129,281,134,129,131,151,133,131,129,139
12.99,80.23,139.130.4.5,-37.81425094604492,144.96316528320312,247,244,243,243,243,243,243,244,251,258
